type,datetime,count,id,data_category,update_reason,view_gap,duplicate_posts,url,title,Days_Old,author,author_link,repost_count,reply_count,delete_count,last_active
post,2025-02-05T00:00:00,7,post_stat_0,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T01:00:00,0,post_stat_1,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T02:00:00,0,post_stat_2,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T03:00:00,0,post_stat_3,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T04:00:00,0,post_stat_4,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T05:00:00,0,post_stat_5,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T06:00:00,0,post_stat_6,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T07:00:00,0,post_stat_7,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T08:00:00,0,post_stat_8,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T09:00:00,0,post_stat_9,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T10:00:00,0,post_stat_10,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T11:00:00,0,post_stat_11,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T12:00:00,0,post_stat_12,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T13:00:00,0,post_stat_13,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T14:00:00,0,post_stat_14,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T15:00:00,0,post_stat_15,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T16:00:00,0,post_stat_16,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T17:00:00,0,post_stat_17,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T18:00:00,0,post_stat_18,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T19:00:00,0,post_stat_19,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T20:00:00,0,post_stat_20,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T21:00:00,0,post_stat_21,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T22:00:00,0,post_stat_22,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-05T23:00:00,0,post_stat_23,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T00:00:00,17,post_stat_24,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T01:00:00,0,post_stat_25,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T02:00:00,0,post_stat_26,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T03:00:00,0,post_stat_27,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T04:00:00,0,post_stat_28,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T05:00:00,0,post_stat_29,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T06:00:00,0,post_stat_30,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T07:00:00,0,post_stat_31,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T08:00:00,0,post_stat_32,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T09:00:00,0,post_stat_33,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T10:00:00,0,post_stat_34,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T11:00:00,0,post_stat_35,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T12:00:00,0,post_stat_36,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T13:00:00,0,post_stat_37,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T14:00:00,0,post_stat_38,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T15:00:00,0,post_stat_39,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T16:00:00,0,post_stat_40,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T17:00:00,0,post_stat_41,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T18:00:00,0,post_stat_42,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T19:00:00,0,post_stat_43,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T20:00:00,0,post_stat_44,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T21:00:00,0,post_stat_45,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T22:00:00,0,post_stat_46,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-06T23:00:00,0,post_stat_47,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T00:00:00,21,post_stat_48,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T01:00:00,0,post_stat_49,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T02:00:00,0,post_stat_50,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T03:00:00,0,post_stat_51,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T04:00:00,0,post_stat_52,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T05:00:00,0,post_stat_53,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T06:00:00,0,post_stat_54,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T07:00:00,0,post_stat_55,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T08:00:00,0,post_stat_56,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T09:00:00,0,post_stat_57,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T10:00:00,0,post_stat_58,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T11:00:00,0,post_stat_59,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T12:00:00,0,post_stat_60,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T13:00:00,0,post_stat_61,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T14:00:00,0,post_stat_62,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T15:00:00,0,post_stat_63,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T16:00:00,0,post_stat_64,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T17:00:00,0,post_stat_65,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T18:00:00,0,post_stat_66,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T19:00:00,0,post_stat_67,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T20:00:00,0,post_stat_68,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T21:00:00,0,post_stat_69,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T22:00:00,0,post_stat_70,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-07T23:00:00,0,post_stat_71,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T00:00:00,1,post_stat_72,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T01:00:00,0,post_stat_73,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T02:00:00,0,post_stat_74,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T03:00:00,0,post_stat_75,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T04:00:00,0,post_stat_76,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T05:00:00,0,post_stat_77,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T06:00:00,0,post_stat_78,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T07:00:00,0,post_stat_79,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T08:00:00,1,post_stat_80,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T09:00:00,2,post_stat_81,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T10:00:00,3,post_stat_82,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T11:00:00,2,post_stat_83,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T12:00:00,0,post_stat_84,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T13:00:00,0,post_stat_85,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T14:00:00,1,post_stat_86,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T15:00:00,0,post_stat_87,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T16:00:00,0,post_stat_88,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T17:00:00,0,post_stat_89,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T18:00:00,0,post_stat_90,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T19:00:00,0,post_stat_91,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T20:00:00,0,post_stat_92,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T21:00:00,0,post_stat_93,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T22:00:00,0,post_stat_94,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-08T23:00:00,0,post_stat_95,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T00:00:00,2,post_stat_96,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T01:00:00,1,post_stat_97,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T02:00:00,0,post_stat_98,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T03:00:00,0,post_stat_99,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T04:00:00,0,post_stat_100,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T05:00:00,1,post_stat_101,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T06:00:00,0,post_stat_102,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T07:00:00,0,post_stat_103,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T08:00:00,0,post_stat_104,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T09:00:00,0,post_stat_105,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T10:00:00,1,post_stat_106,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T11:00:00,0,post_stat_107,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T12:00:00,2,post_stat_108,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T13:00:00,3,post_stat_109,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T14:00:00,4,post_stat_110,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T15:00:00,0,post_stat_111,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T16:00:00,0,post_stat_112,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T17:00:00,1,post_stat_113,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T18:00:00,0,post_stat_114,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T19:00:00,2,post_stat_115,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T20:00:00,0,post_stat_116,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T21:00:00,0,post_stat_117,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T22:00:00,6,post_stat_118,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-09T23:00:00,1,post_stat_119,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-10T00:00:00,1,post_stat_120,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-10T01:00:00,0,post_stat_121,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-10T02:00:00,0,post_stat_122,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-10T03:00:00,0,post_stat_123,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-10T04:00:00,0,post_stat_124,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-10T05:00:00,0,post_stat_125,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-10T06:00:00,1,post_stat_126,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-10T07:00:00,0,post_stat_127,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-10T08:00:00,1,post_stat_128,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-10T09:00:00,4,post_stat_129,post_statistics,,0,0,,,0,,,0,0,0,0
post,2025-02-10T10:00:00,7,post_stat_130,post_statistics,,0,0,,,0,,,0,0,0,0
